time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1696750239.61550331,0.00261994,999,0.00013603,0.00000000,0,0.00000000,2214,2190,19,0.00456364
1696750239.71618652,0.00386901,1012,0.00011680,0.00000000,0,0.00000000,2190,2198,18,0.00257645
1696750239.81533313,0.00228751,990,0.00009427,0.00000000,0,0.00000000,2198,2201,17,0.00222571
1696750239.91540146,0.00272146,1014,0.00017113,0.00000000,0,0.00000000,2201,2212,23,0.00304047
1696750240.01545334,0.00218642,1024,0.00008577,0.00000000,0,0.00000000,2212,2230,27,0.00281597
1696750240.11534905,0.00266829,1085,0.00007973,0.00000000,0,0.00000000,2230,2246,18,0.00335333
1696750240.21545839,0.00296233,1096,0.00044789,0.00000000,0,0.00000000,2246,2194,26,0.00135379
1696750240.31543732,0.00353566,1085,0.00012548,0.00000000,0,0.00000000,2194,2204,22,0.00192048
1696750240.41538477,0.00237282,1089,0.00006512,0.00000000,0,0.00000000,2204,2220,20,0.00232046
1696750240.51538658,0.00412655,1071,0.00024924,0.00000000,0,0.00000000,2220,2230,19,0.00247443
1696750240.61545849,0.00436642,1084,0.00018729,0.00000000,0,0.00000000,2230,2239,23,0.00308755
1696750240.71539664,0.00354642,1062,0.00041841,0.00000000,0,0.00000000,2239,2217,27,0.00473796
1696750240.81542420,0.00657591,1058,0.00034396,0.00000000,0,0.00000000,2217,2231,22,0.00275242
1696750240.91537213,0.00354150,1079,0.00012170,0.00000000,0,0.00000000,2231,2246,21,0.00312162
1696750241.01534820,0.00379035,1049,0.00013174,0.00000000,0,0.00000000,2246,2260,20,0.00452932
1696750241.11541080,0.00526079,1022,0.00026848,0.00000000,0,0.00000000,2260,2275,29,0.00368038
1696750241.21546030,0.00427625,1035,0.00014052,0.00000000,0,0.00000000,2275,2291,30,0.00673208
1696750241.31536841,0.00625563,1094,0.00053015,0.00000000,0,0.00000000,2291,2306,47,0.00381704
1696750241.41546369,0.00375014,1066,0.00017743,0.00000000,0,0.00000000,2306,2311,32,0.00273025
1696750241.51535463,0.00244597,1069,0.00009964,0.00000000,0,0.00000000,2311,2339,41,0.00623146
1696750241.61532092,0.00390777,1019,0.00017024,0.00000000,0,0.00000000,2339,2363,40,0.00386386
1696750241.71541095,0.00341139,1035,0.00012552,0.00000000,0,0.00000000,2363,2383,31,0.00453103
1696750241.81532168,0.00341936,1065,0.00017482,0.00000000,0,0.00000000,2244,2280,40,0.00493542
1696750241.91586614,0.00463094,1058,0.00020275,0.00000000,0,0.00000000,2280,2310,33,0.00419763
1696750242.01541305,0.00289353,1031,0.00017123,0.00000000,0,0.00000000,2310,2342,48,0.00300333
1696750242.11535692,0.00341093,1036,0.00013123,0.00000000,0,0.00000000,2342,2362,30,0.00294714
1696750242.21541238,0.00263487,1001,0.00021180,0.00000000,0,0.00000000,2362,2371,40,0.00280552
1696750242.31539726,0.00315759,982,0.00019002,0.00000000,0,0.00000000,2371,2394,38,0.00250931
1696750242.41535187,0.00329157,999,0.00020581,0.00000000,0,0.00000000,2394,2400,36,0.00222924
1696750242.51528573,0.00249483,1041,0.00014242,0.00000000,0,0.00000000,2400,2415,46,0.00308531
1696750242.61543012,0.00314002,1050,0.00018167,0.00000000,0,0.00000000,2415,2441,40,0.00206020
1696750242.71535540,0.00381492,998,0.00025896,0.00000000,0,0.00000000,2441,2473,45,0.00344046
1696750242.81526637,0.00360828,1018,0.00025272,0.00000000,0,0.00000000,2473,2487,39,0.00367994
1696750242.91539812,0.00349606,976,0.00014002,0.00000000,0,0.00000000,2487,2500,26,0.00455523
1696750243.01531911,0.00418674,1013,0.00043489,0.00000000,0,0.00000000,2500,2482,39,0.00239362
1696750243.11528325,0.00306872,1039,0.00018056,0.00000000,0,0.00000000,2482,2514,51,0.00507456
1696750243.21552968,0.00236971,1059,0.00013128,0.00000000,0,0.00000000,2514,2530,36,0.00394631
1696750243.31530404,0.00373508,1033,0.00022134,0.00000000,0,0.00000000,2530,2546,35,0.00495008
1696750243.41528916,0.00311191,998,0.00035296,0.00000000,0,0.00000000,2546,2555,43,0.00436510
1696750243.51535487,0.00381358,1000,0.00024898,0.00000000,0,0.00000000,2555,2560,42,0.00322559
1696750243.61529875,0.00174688,1001,0.00010812,0.00000000,0,0.00000000,2560,2585,43,0.00441787
1696750243.71524906,0.00406083,970,0.00048585,0.00000000,0,0.00000000,2585,2527,41,0.00361685
1696750243.81538653,0.00350897,955,0.00011821,0.00000000,0,0.00000000,2527,2557,33,0.00286307
1696750243.91529846,0.00367327,960,0.00016119,0.00000000,0,0.00000000,2557,2575,37,0.00385928
1696750244.01525664,0.00427122,946,0.00018488,0.00000000,0,0.00000000,2575,2594,32,0.00553869
1696750244.11545563,0.00442183,1007,0.00021021,0.00000000,0,0.00000000,2594,2591,35,0.00191702
1696750244.21506810,0.00341451,1025,0.00017565,0.00000000,0,0.00000000,2591,2586,30,0.00307397
1696750244.31526327,0.00489216,1018,0.00024948,0.00000000,0,0.00000000,2586,2607,37,0.00445920
1696750244.41531706,0.00430741,943,0.00018956,0.00000000,0,0.00000000,2607,2635,38,0.00402767
1696750244.51528287,0.00467146,968,0.00028433,0.00000000,0,0.00000000,2635,2642,41,0.00368319
